2017-12-09 19:18:40 install insserv:armhf <none> 1.14.0-5ubuntu3
2017-12-09 19:18:40 status half-installed insserv:armhf 1.14.0-5ubuntu3
2017-12-09 19:18:40 status unpacked insserv:armhf 1.14.0-5ubuntu3
2017-12-09 19:18:40 status unpacked insserv:armhf 1.14.0-5ubuntu3
2017-12-09 19:18:40 install libacl1:armhf <none> 2.2.52-3
2017-12-09 19:18:40 status half-installed libacl1:armhf 2.2.52-3
2017-12-09 19:18:40 status unpacked libacl1:armhf 2.2.52-3
2017-12-09 19:18:40 status unpacked libacl1:armhf 2.2.52-3
2017-12-09 19:18:41 install libapparmor1:armhf <none> 2.10.95-0ubuntu2
2017-12-09 19:18:41 status half-installed libapparmor1:armhf 2.10.95-0ubuntu2
2017-12-09 19:18:41 status unpacked libapparmor1:armhf 2.10.95-0ubuntu2
2017-12-09 19:18:41 status unpacked libapparmor1:armhf 2.10.95-0ubuntu2
2017-12-09 19:18:43 install libattr1:armhf <none> 1:2.4.47-2
2017-12-09 19:18:43 status half-installed libattr1:armhf 1:2.4.47-2
2017-12-09 19:18:43 status unpacked libattr1:armhf 1:2.4.47-2
2017-12-09 19:18:43 status unpacked libattr1:armhf 1:2.4.47-2
2017-12-09 19:18:44 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2017-12-09 19:18:44 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2017-12-09 19:18:44 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2017-12-09 19:18:44 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2017-12-09 19:18:44 install libaudit1:armhf <none> 1:2.4.5-1ubuntu2
2017-12-09 19:18:44 status half-installed libaudit1:armhf 1:2.4.5-1ubuntu2
2017-12-09 19:18:44 status unpacked libaudit1:armhf 1:2.4.5-1ubuntu2
2017-12-09 19:18:44 status unpacked libaudit1:armhf 1:2.4.5-1ubuntu2
2017-12-09 19:18:45 install libblkid1:armhf <none> 2.27.1-6ubuntu3
2017-12-09 19:18:45 status half-installed libblkid1:armhf 2.27.1-6ubuntu3
2017-12-09 19:18:45 status unpacked libblkid1:armhf 2.27.1-6ubuntu3
2017-12-09 19:18:45 status unpacked libblkid1:armhf 2.27.1-6ubuntu3
2017-12-09 19:18:45 install libbz2-1.0:armhf <none> 1.0.6-8
2017-12-09 19:18:45 status half-installed libbz2-1.0:armhf 1.0.6-8
2017-12-09 19:18:45 status unpacked libbz2-1.0:armhf 1.0.6-8
2017-12-09 19:18:45 status unpacked libbz2-1.0:armhf 1.0.6-8
2017-12-09 19:18:46 install libc-bin:armhf <none> 2.23-0ubuntu3
2017-12-09 19:18:46 status half-installed libc-bin:armhf 2.23-0ubuntu3
2017-12-09 19:18:46 status unpacked libc-bin:armhf 2.23-0ubuntu3
2017-12-09 19:18:46 status unpacked libc-bin:armhf 2.23-0ubuntu3
2017-12-09 19:18:47 upgrade libc6:armhf 2.23-0ubuntu3 2.23-0ubuntu3
2017-12-09 19:18:47 status half-configured libc6:armhf 2.23-0ubuntu3
2017-12-09 19:18:47 status unpacked libc6:armhf 2.23-0ubuntu3
2017-12-09 19:18:47 status half-installed libc6:armhf 2.23-0ubuntu3
2017-12-09 19:18:49 status half-installed libc6:armhf 2.23-0ubuntu3
2017-12-09 19:18:49 status unpacked libc6:armhf 2.23-0ubuntu3
2017-12-09 19:18:49 status unpacked libc6:armhf 2.23-0ubuntu3
2017-12-09 19:18:49 install libcap2:armhf <none> 1:2.24-12
2017-12-09 19:18:49 status half-installed libcap2:armhf 1:2.24-12
2017-12-09 19:18:49 status unpacked libcap2:armhf 1:2.24-12
2017-12-09 19:18:49 status unpacked libcap2:armhf 1:2.24-12
2017-12-09 19:18:49 install libcap2-bin:armhf <none> 1:2.24-12
2017-12-09 19:18:49 status half-installed libcap2-bin:armhf 1:2.24-12
2017-12-09 19:18:50 status unpacked libcap2-bin:armhf 1:2.24-12
2017-12-09 19:18:50 status unpacked libcap2-bin:armhf 1:2.24-12
2017-12-09 19:18:50 install libcomerr2:armhf <none> 1.42.13-1ubuntu1
2017-12-09 19:18:50 status half-installed libcomerr2:armhf 1.42.13-1ubuntu1
2017-12-09 19:18:50 status unpacked libcomerr2:armhf 1.42.13-1ubuntu1
2017-12-09 19:18:50 status unpacked libcomerr2:armhf 1.42.13-1ubuntu1
2017-12-09 19:18:50 install libcryptsetup4:armhf <none> 2:1.6.6-5ubuntu2
2017-12-09 19:18:50 status half-installed libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2017-12-09 19:18:51 status unpacked libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2017-12-09 19:18:51 status unpacked libcryptsetup4:armhf 2:1.6.6-5ubuntu2
2017-12-09 19:18:51 install libdb5.3:armhf <none> 5.3.28-11
2017-12-09 19:18:51 status half-installed libdb5.3:armhf 5.3.28-11
2017-12-09 19:18:51 status unpacked libdb5.3:armhf 5.3.28-11
